L,g,chi
3,0.0,0.4999999999986124
3,0.04081632653061224,0.5308683730465266
3,0.08163265306122448,0.5619988237512378
3,0.12244897959183673,0.5929594404960338
3,0.16326530612244897,0.6232457006261876
3,0.2040816326530612,0.6522891257457486
3,0.24489795918367346,0.6794726900957622
3,0.2857142857142857,0.7041532916955361
3,0.32653061224489793,0.72569073489511
3,0.36734693877551017,0.7434816285449429
3,0.4081632653061224,0.7569955485931347
3,0.44897959183673464,0.7658099690449406
3,0.4897959183673469,0.7696400783940388
3,0.5306122448979591,0.7683598344443056
3,0.5714285714285714,0.7620115221962415
3,0.6122448979591836,0.7508025309444718
3,0.6530612244897959,0.7350897867943322
3,0.6938775510204082,0.7153539031448983
3,0.7346938775510203,0.692166320194105
3,0.7755102040816326,0.6661532838415298
3,0.8163265306122448,0.6379604229958374
3,0.8571428571428571,0.6082210421492051
3,0.8979591836734693,0.5775302623984758
3,0.9387755102040816,0.5464260726970323
3,0.9795918367346939,0.5153773802967875
3,1.0,0.5000000000444089
3,1.0204081632653061,0.48477841849929804
3,1.0612244897959182,0.4549484108466067
3,1.1020408163265305,0.4261352026496528
3,1.1428571428571428,0.39852157764658047
3,1.183673469387755,0.3722331275966035
3,1.2244897959183672,0.34734675829811756
3,1.2653061224489794,0.3238991471955374
3,1.3061224489795917,0.3018946909996363
3,1.346938775510204,0.2813126615467843
3,1.3877551020408163,0.26211343564336664
3,1.4285714285714284,0.24424376584959304
3,1.4693877551020407,0.22764113000024092
3,1.510204081632653,0.21223723884883097
3,1.5510204081632653,0.19796080075055386
3,1.5918367346938773,0.1847396520470278
3,1.6326530612244896,0.17250235679775694
3,1.673469387755102,0.16117937139853314
3,1.7142857142857142,0.15070386050098997
3,1.7551020408163265,0.1410122371472066
3,1.7959183673469385,0.13204448884776102
3,1.8367346938775508,0.1237443404458969
3,1.8775510204081631,0.11605929480164608
3,1.9183673469387754,0.10894058484684739
3,1.9591836734693877,0.10234306264611093
3,2.0,0.09622504484822181
4,0.0,0.4999999999895914
4,0.04081632653061224,0.5018722599068199
4,0.08163265306122448,0.5074651605067237
4,0.12244897959183673,0.5167043234066843
4,0.16326530612244897,0.5294567972359563
4,0.2040816326530612,0.545518149746328
4,0.24489795918367346,0.5645957010474083
4,0.2857142857142857,0.5862895430964081
4,0.32653061224489793,0.6100738632957016
4,0.36734693877551017,0.6352820910465754
4,0.4081632653061224,0.6611003248958569
4,0.44897959183673464,0.6865740308430998
4,0.4897959183673469,0.710632688395226
4,0.5306122448979591,0.7321354521452104
4,0.5714285714285714,0.7499377582465825
4,0.6122448979591836,0.762974378893386
4,0.6530612244897959,0.7703495882948656
4,0.6938775510204082,0.7714212900943851
4,0.7346938775510203,0.7658647375929704
4,0.7755102040816326,0.7537038399930168
4,0.8163265306122448,0.7353038041953542
4,0.8571428571428571,0.7113264962452821
4,0.8979591836734693,0.6826571183959593
4,0.9387755102040816,0.6503154751437841
4,0.9795918367346939,0.615366160046503
4,1.0,0.5972387912961128
4,1.0204081632653061,0.57883971294646
4,1.0612244897959182,0.5416724494964372
4,1.1020408163265305,0.5046678440001863
4,1.1428571428571428,0.4684783267452759
4,1.183673469387755,0.4336037883939008
4,1.2244897959183672,0.40040199874873095
4,1.2653061224489794,0.3691062330477801
4,1.3061224489795917,0.339846162997753
4,1.346938775510204,0.31266911655131735
4,1.3877551020408163,0.2875598369515044
4,1.4285714285714284,0.26445772339616036
4,1.4693877551020407,0.24327116420038097
4,1.510204081632653,0.22388898564948842
4,1.5510204081632653,0.20618927615155083
4,1.5918367346938773,0.19004595935165744
4,1.6326530612244896,0.17533351609918024
4,1.673469387755102,0.1619302367462044
4,1.7142857142857142,0.14972034075202037
4,1.7551020408163265,0.1385952449019869
4,1.7959183673469385,0.12845420970158064
4,1.8367346938775508,0.11920454234736932
4,1.8775510204081631,0.1107614965460373
4,1.9183673469387754,0.10304796949566424
4,1.9591836734693877,0.09599407634834196
4,2.0,0.0895366541014649
5,0.0,0.5000000000156124
5,0.04081632653061224,0.5003869716217577
5,0.08163265306122448,0.5018465662915291
5,0.12244897959183673,0.5048221421119726
5,0.16326530612244897,0.5097410991119956
5,0.2040816326530612,0.5170014334463783
5,0.24489795918367346,0.5269555216965044
5,0.2857142857142857,0.5398894594963612
5,0.32653061224489793,0.5559962690962141
5,0.36734693877551017,0.5753417117952464
5,0.4081632653061224,0.5978225366467775
5,0.44897959183673464,0.6231190233464113
5,0.4897959183673469,0.6506468187962974
5,0.5306122448979591,0.6795171869949826
5,0.5714285714285714,0.7085191302445217
5,0.6122448979591836,0.7361397401963246
5,0.6530612244897959,0.7606380917435502
5,0.6938775510204082,0.7801804843448016
5,0.7346938775510203,0.793029987295269
5,0.7755102040816326,0.7977638443932207
5,0.8163265306122448,0.7934754069464288
5,0.8571428571428571,0.7799118808442506
5,0.8979591836734693,0.757511027494362
5,0.9387755102040816,0.7273266993465068
5,0.9795918367346939,0.6908641409463493
5,1.0,0.6708203931960384
5,1.0204081632653061,0.6498682510471424
5,1.0612244897959182,0.606113463348849
5,1.1020408163265305,0.5612334324963534
5,1.1428571428571428,0.5166098952923988
5,1.183673469387755,0.4733216811960783
5,1.2244897959183672,0.43214251464746
5,1.2653061224489794,0.39357125054837194
5,1.3061224489795917,0.3578788334433905
5,1.346938775510204,0.3251598831500516
5,1.3877551020408163,0.2953811544950746
5,1.4285714285714284,0.2684228717002758
